,POLICY_BEGIN_MONTH,POLICY_END_MONTH,POLICY_SALES_CHANNEL,POLICY_SALES_CHANNEL_GROUP,POLICY_BRANCH,POLICY_MIN_AGE,POLICY_MIN_DRIVING_EXPERIENCE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_ENGINE_POWER,VEHICLE_IN_CREDIT,VEHICLE_SUM_INSURED,POLICY_INTERMEDIARY,INSURER_GENDER,POLICY_CLM_N,POLICY_CLM_GLT_N,POLICY_PRV_CLM_N,POLICY_PRV_CLM_GLT_N,CLIENT_HAS_DAGO,CLIENT_HAS_OSAGO,POLICY_COURT_SIGN,CLAIM_AVG_ACC_ST_PRD,POLICY_HAS_COMPLAINTS,POLICY_YEARS_RENEWED_N,POLICY_DEDUCT_VALUE,CLIENT_REGISTRATION_REGION,POLICY_PRICE_CHANGE
66095,11,11,52,6,Санкт-Петербург,56,37,Renault,Duster,102.0,1,558270.0,1096,M,0,0,N,N,0,1,0,0.0,0,0,15000.0,Ленинградская,-0.38
66109,1,1,50,5,Москва,27,9,BMW,3-series,184.0,0,1102600.0,N,M,0,0,1S,0,0,1,0,0.0,0,1,0.0,Карачаево-Черкесская,-1.0
66115,10,10,54,6,Москва,36,14,BMW,X5,249.0,1,4088000.0,703,M,2,1S,N,N,0,0,0,9.5,0,0,0.0,Калужская,-0.06
66116,10,10,55,6,Москва,36,14,Mitsubishi,Outlander XL,170.0,0,967619.0,1096,F,2,2,0,0,0,0,0,5.0,0,4,0.0,Москва,-0.36
66128,2,2,50,5,Москва,39,15,Honda,Civic,140.0,0,465000.0,N,F,0,0,0,0,0,0,0,0.0,0,4,10000.0,Москва,0.05
66129,2,2,55,6,Москва,53,4,Suzuki,Grand Vitara,166.0,0,1255900.0,1252,F,1S,0,N,N,1,1,0,2.0,0,0,0.0,Москва,-0.35
66133,8,8,14,1,Москва,46,20,Skoda,Octavia,105.0,0,385505.0,597,M,0,0,0,0,0,0,0,0.0,0,6,0.0,Москва,0.01
66147,10,10,52,6,Санкт-Петербург,32,8,Toyota,RAV4,158.0,1,898997.0,1188,M,2,1S,0,0,0,0,0,7.0,0,3,0.0,Санкт-Петербург,3.6
66149,12,12,1,4,Москва,53,10,Land Rover,Freelander,150.0,0,1075819.0,1126,F,0,0,0,0,1,1,0,0.0,0,3,15000.0,Москва,0.01
66150,12,12,53,6,Москва,36,11,BMW,X6,449.0,0,6500000.0,849,F,2,2,N,N,0,0,0,46.0,0,0,0.0,Москва,0.56
66155,9,9,59,3,Санкт-Петербург,46,14,Suzuki,Grand Vitara,169.0,0,549876.0,1233,F,0,0,0,0,0,0,0,0.0,0,5,0.0,Санкт-Петербург,0.0
66158,11,11,4,4,Санкт-Петербург,23,4,Toyota,Corolla,124.0,0,519750.0,1190,F,0,0,0,0,1,1,0,0.0,0,1,15000.0,Санкт-Петербург,-0.17
66159,11,11,52,6,Санкт-Петербург,36,10,Toyota,RAV4,152.0,0,467633.0,N,M,0,0,1S,1S,0,1,0,0.0,0,7,0.0,Санкт-Петербург,0.07
66163,9,9,52,6,Санкт-Петербург,46,11,Toyota,RAV4,158.0,1,740214.0,1188,F,1S,1S,2,2,1,1,0,0.0,0,3,15000.0,Санкт-Петербург,-0.37
66168,2,2,53,6,Москва,52,23,Toyota,Land Cruiser 150,282.0,0,2293474.0,272,M,1S,1S,0,0,1,1,0,1.0,0,1,0.0,Москва,0.03
66177,2,2,50,5,Москва,48,4,Hyundai,ix35,150.0,0,962213.0,N,M,1S,1S,0,0,0,1,0,2.0,0,2,0.0,Москва,-0.04
66181,9,9,52,6,Санкт-Петербург,55,24,Nissan,Pathfinder,190.0,0,1307990.0,709,M,2,1S,1S,1S,0,1,0,4.0,0,2,0.0,Санкт-Петербург,0.01
66187,8,8,53,6,Санкт-Петербург,49,20,Nissan,Almera,102.0,1,437938.0,1316,M,0,0,N,N,0,0,0,0.0,0,0,15000.0,Санкт-Петербург,0.0
66190,12,12,50,5,Москва,52,3,УАЗ,3163 Patriot,116.0,0,458325.0,N,M,0,0,0,0,1,1,0,0.0,0,3,0.0,Московская,0.15
66200,10,10,59,3,Санкт-Петербург,60,34,Lada,11173 Kalina,81.0,0,153562.0,565,M,0,0,0,0,0,1,0,0.0,0,4,0.0,Санкт-Петербург,0.01
66202,10,10,52,6,Санкт-Петербург,50,14,Skoda,Yeti,152.0,0,924600.0,1096,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,-0.01
66209,9,9,53,6,Санкт-Петербург,48,12,Hyundai,Santa Fe,174.0,0,899673.0,1200,M,0,0,0,0,1,0,0,0.0,0,3,0.0,Санкт-Петербург,0.01
66210,9,9,52,6,Санкт-Петербург,43,16,Renault,Megane,106.0,1,475900.0,1096,M,1S,1S,0,0,0,1,0,26.0,0,2,0.0,Ленинградская,0.0
66216,9,9,52,6,Санкт-Петербург,44,19,BMW,X3,218.0,0,1140480.0,6,F,2,2,0,0,0,0,0,5.0,0,4,0.0,Санкт-Петербург,0.01
66219,11,11,52,6,Санкт-Петербург,41,13,Subaru,Outback,167.0,0,1420000.0,1333,M,0,0,N,N,0,1,0,0.0,0,0,50000.0,Санкт-Петербург,-0.35
66222,9,9,52,6,Санкт-Петербург,40,17,Kia,Ceed,129.0,1,669900.0,245,F,0,0,N,N,1,1,0,0.0,0,0,0.0,Санкт-Петербург,0.0
66223,9,9,53,6,Санкт-Петербург,48,16,Skoda,Yeti,152.0,1,1000000.0,641,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,0.0
66225,2,2,6,4,Санкт-Петербург,34,5,Renault,Sandero Stepway,84.0,0,430000.0,244,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,0.06
66226,2,2,55,6,Москва,40,2,Suzuki,Grand Vitara,169.0,0,1415900.0,1252,M,2,2,N,N,1,1,0,3.5,0,0,0.0,Москва,0.01
66236,11,11,50,5,Санкт-Петербург,28,8,ВАЗ,1119 Kalina,98.0,0,247462.0,N,F,1L,1L,0,0,1,0,0,0.0,0,4,0.0,Санкт-Петербург,-0.26
66245,10,10,53,6,Москва,34,8,Nissan,Qashqai,141.0,0,818181.0,296,F,0,0,0,0,1,0,0,0.0,0,3,0.0,Москва,-0.24
66247,10,10,18,1,Москва,59,28,Nissan,X-Trail,141.0,0,1214000.0,708,M,1S,1S,N,N,0,1,0,7.0,0,0,0.0,Московская,0.0
66249,2,2,54,6,Москва,25,7,Ford,Focus,150.0,0,639292.0,682,M,1S,0,2,2,0,0,0,0.0,0,2,20000.0,Московская,0.03
66250,3,3,50,5,Москва,62,14,Nissan,Almera,120.0,0,310696.0,N,F,0,0,0,0,1,1,0,0.0,0,5,0.0,Москва,-0.06
66254,10,10,54,6,Москва,36,12,BMW,3-series GT,184.0,0,1785000.0,703,F,2,2,N,N,0,0,0,1.5,0,0,0.0,Москва,-1.0
66259,3,3,53,6,Санкт-Петербург,31,7,Volkswagen,Golf,105.0,1,679329.0,948,F,3,2,1S,1S,0,0,0,35.0,0,1,0.0,Санкт-Петербург,0.52
66264,11,11,59,3,Санкт-Петербург,69,18,Skoda,Yeti,105.0,0,770000.0,565,M,0,0,N,N,0,0,0,0.0,0,0,10000.0,Ленинградская,-0.05
66265,12,12,50,5,Санкт-Петербург,52,21,Renault,Duster,135.0,0,580000.0,N,M,0,0,0,0,1,1,0,0.0,0,1,10000.0,Санкт-Петербург,0.11
66266,12,12,52,6,Санкт-Петербург,40,17,Toyota,Land Cruiser 150,173.0,1,1709000.0,1188,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Ленинградская,0.01
66267,2,2,55,6,Москва,64,20,Skoda,Octavia,179.0,0,1201959.0,1401,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.18
66274,11,10,52,6,Санкт-Петербург,30,7,Kia,Ceed,129.0,1,637053.0,261,M,0,0,0,0,1,1,0,0.0,0,1,0.0,Санкт-Петербург,-0.53
66279,10,10,52,6,Санкт-Петербург,56,31,Toyota,RAV4,146.0,0,978260.0,1188,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Санкт-Петербург,-1.0
66282,11,11,55,6,Москва,41,23,Hyundai,H-1,170.0,1,859338.0,1096,M,0,0,0,0,0,0,0,0.0,0,3,0.0,Московская,0.04
66283,2,2,52,6,Москва,57,34,Ford,Kuga,150.0,0,918810.0,910,M,0,0,0,0,0,1,0,0.0,0,1,15000.0,Москва,-0.01
66296,8,8,54,6,Москва,41,21,Geely,Emgrand,126.0,1,482980.0,N,F,0,0,0,0,1,0,0,0.0,0,1,0.0,Московская,0.0
66298,10,10,52,6,Санкт-Петербург,49,2,Kia,Rio,123.0,0,623900.0,245,F,0,0,N,N,1,0,0,0.0,0,0,0.0,Санкт-Петербург,-0.13
66299,11,11,6,4,Санкт-Петербург,61,8,Volkswagen,Tiguan,140.0,0,1021146.0,34,M,2,2,1S,1S,1,0,0,4.5,0,1,0.0,Санкт-Петербург,-1.0
66301,2,2,50,5,Москва,28,4,Infiniti,QX50,222.0,0,2158555.0,N,M,0,0,N,N,1,1,0,0.0,0,0,0.0,Москва,-0.19
66306,10,10,52,6,Санкт-Петербург,63,44,Renault,Logan,75.0,0,259658.0,N,M,0,0,0,0,0,0,0,0.0,0,3,0.0,Ленинградская,0.0
66309,1,1,41,1,Москва,45,15,Land Rover,Range Rover Sport,292.0,0,3255400.0,846,M,3,3,N,N,0,0,0,13.0,0,0,0.0,Москва,-1.0
66317,2,2,53,6,Санкт-Петербург,34,7,BMW,X1,184.0,0,1091420.0,1287,F,0,0,0,0,0,0,0,0.0,0,1,0.0,Санкт-Петербург,-0.63
66319,12,12,50,5,Москва,33,6,Nissan,X-Trail,140.0,0,504000.0,N,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,-1.0
66322,9,9,6,4,Санкт-Петербург,40,14,Toyota,RAV4,158.0,0,841500.0,376,M,0,0,0,0,0,0,0,0.0,0,3,0.0,Санкт-Петербург,-1.0
66323,9,9,50,5,Санкт-Петербург,48,8,Mitsubishi,ASX,140.0,1,780000.0,N,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,0.0
66324,10,10,52,6,Санкт-Петербург,34,9,Kia,Ceed,122.0,1,432774.0,164,M,0,0,2,2,0,1,0,0.0,0,3,10000.0,Санкт-Петербург,-0.28
66326,2,2,55,6,Москва,57,5,Hyundai,i30,126.0,0,374818.0,1096,F,1L,0,0,0,0,1,0,0.0,0,4,0.0,Москва,0.0
66332,10,10,53,6,Санкт-Петербург,60,34,Skoda,Fabia,69.0,0,253754.0,1369,M,0,0,0,0,0,1,0,0.0,0,4,0.0,Санкт-Петербург,0.0
66336,11,11,55,6,Москва,48,29,Ford,Focus,104.0,1,433324.0,1352,M,1L,1L,0,0,0,0,0,5.0,0,2,0.0,Московская,-0.32
66337,2,2,35,1,Санкт-Петербург,33,10,Mazda,6,147.0,0,570000.0,449,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,22.91
66341,2,2,52,6,Москва,28,10,Kia,Rio,107.0,1,457478.0,910,M,2,2,0,0,0,1,0,5.5,0,1,0.0,Москва,0.11
66351,2,2,50,5,Москва,38,18,Mercedes-Benz,S,306.0,0,3100000.0,N,M,1L,1L,N,N,0,0,0,3.0,0,0,0.0,Москва,-0.08
66352,2,2,50,5,Санкт-Петербург,38,12,Volvo,XC60,163.0,0,1382134.0,N,M,0,0,0,0,0,1,0,0.0,0,1,15000.0,Санкт-Петербург,-0.08
66355,10,10,53,6,Москва,32,14,Toyota,Camry,148.0,1,770800.0,272,F,0,0,0,0,0,1,0,0.0,0,1,0.0,Московская,0.0
66356,11,11,53,6,Санкт-Петербург,35,9,Kia,Sportage,150.0,1,809000.0,485,M,1S,1S,0,0,0,1,0,4.0,0,1,0.0,Санкт-Петербург,0.05
66358,1,1,53,6,Санкт-Петербург,52,15,Audi,Q3,170.0,0,1217700.0,N,F,0,0,0,0,0,0,0,0.0,0,2,0.0,Ленинградская,0.06
66362,11,11,53,6,Санкт-Петербург,51,25,Hyundai,Solaris,123.0,1,472602.0,1200,M,0,0,0,0,0,0,0,0.0,0,1,0.0,Санкт-Петербург,0.05
66369,12,12,52,6,Санкт-Петербург,53,20,Renault,Fluence,106.0,1,581954.0,171,M,0,0,0,0,0,0,0,0.0,0,1,7500.0,Санкт-Петербург,0.04
66370,10,10,53,6,Москва,26,0,Kia,Sportage,150.0,1,1237509.0,1221,M,4+,4+,N,N,0,0,0,59.75,0,0,0.0,Московская,1.09
66373,11,11,52,6,Санкт-Петербург,31,8,Skoda,Octavia,105.0,1,880000.0,686,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Новгородская,-0.49
66376,11,11,52,6,Санкт-Петербург,26,5,Kia,Sportage,150.0,0,902000.0,261,M,0,0,0,0,1,1,0,0.0,0,1,15000.0,Санкт-Петербург,0.02
66389,3,3,53,6,Москва,26,8,Land Rover,Range Rover Sport,292.0,0,3307060.0,287,F,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,0.11
66413,2,2,52,6,Москва,46,15,Kia,Sportage,150.0,1,780558.0,1372,F,1S,1S,0,0,0,0,0,7.0,0,1,0.0,Москва,0.04
66414,10,10,53,6,Санкт-Петербург,53,13,Honda,Pilot,249.0,1,1323000.0,89,M,0,0,0,0,0,0,0,0.0,0,3,0.0,Санкт-Петербург,0.0
66415,10,10,53,6,Санкт-Петербург,68,20,Hyundai,Solaris,123.0,0,437580.0,1200,M,0,0,1S,1S,0,0,0,0.0,0,2,0.0,Санкт-Петербург,0.02
66417,10,10,52,6,Москва,20,2,Kia,Optima,180.0,0,929794.0,360,F,1S,1S,1S,0,0,0,0,3.0,0,1,10000.0,Москва,-0.16
66421,1,1,50,5,Санкт-Петербург,34,2,Renault,Logan,102.0,0,336420.0,N,F,0,0,0,0,1,1,0,0.0,0,2,25000.0,Санкт-Петербург,0.11
66422,1,1,21,1,Санкт-Петербург,41,16,УАЗ,3163 Patriot,128.0,1,450918.0,258,M,1L,1L,0,0,1,1,0,5.0,0,2,0.0,Ленинградская,-0.22
66427,10,10,52,6,Санкт-Петербург,38,17,Kia,Ceed,129.0,1,683000.0,245,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Санкт-Петербург,0.0
66431,1,1,27,1,Санкт-Петербург,52,15,Toyota,RAV4,148.0,0,1020000.0,128,F,0,0,0,0,0,1,0,0.0,0,2,0.0,Санкт-Петербург,0.04
66439,1,1,52,6,Санкт-Петербург,61,16,Renault,Logan,102.0,0,314066.0,1096,M,0,0,0,0,0,1,0,0.0,0,3,0.0,Санкт-Петербург,-1.0
66441,1,1,50,5,Москва,40,12,Hyundai,Santa Fe,197.0,0,1139710.0,N,M,2,0,N,N,1,1,0,0.0,0,0,0.0,Москва,-0.12
66442,9,9,53,6,Москва,47,6,Hyundai,Solaris,123.0,0,599900.0,320,M,0,0,N,N,0,0,0,0.0,0,0,10000.0,Москва,-0.27
66449,2,2,53,6,Санкт-Петербург,46,23,Nissan,Sentra,117.0,0,694000.0,343,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,0.14
66451,2,2,55,6,Москва,23,2,Hyundai,Solaris,123.0,0,400322.0,1252,M,1S,1S,0,0,0,0,0,1.0,0,2,0.0,Москва,0.05
66452,2,2,53,6,Москва,44,11,Hyundai,Solaris,123.0,1,364889.0,286,F,2,2,2,2,0,0,0,0.0,0,3,10000.0,Московская,0.16
66454,10,10,52,6,Санкт-Петербург,33,13,Renault,Duster,102.0,1,485436.0,1096,F,0,0,0,0,0,1,0,0.0,0,2,0.0,Санкт-Петербург,0.0
66455,10,10,52,6,Санкт-Петербург,34,12,Ford,Kuga,150.0,1,1030000.0,493,F,1L,1L,N,N,0,1,0,8.0,0,0,0.0,Санкт-Петербург,-1.0
66459,11,10,52,6,Санкт-Петербург,28,9,Toyota,RAV4,148.0,1,875292.0,1319,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Ленинградская,0.05
66462,12,12,10,1,Москва,44,21,Toyota,Land Cruiser Prado,173.0,0,1850000.0,1290,M,0,0,0,0,1,1,0,0.0,0,1,10000.0,Москва,0.04
66474,11,11,52,6,Санкт-Петербург,55,18,Toyota,RAV4,146.0,0,1104548.0,1319,M,0,0,0,0,1,0,0,0.0,0,1,20000.0,Санкт-Петербург,0.04
66486,1,1,55,6,Москва,47,22,Ford,Focus,145.0,0,396046.0,1096,M,0,0,1L,1L,1,1,0,0.0,0,4,20000.0,Москва,-0.08
66488,1,1,59,3,Москва,24,5,Kia,Ceed,122.0,0,399900.0,1080,F,0,0,0,0,0,0,0,0.0,0,4,15000.0,Москва,-1.0
66498,3,3,50,5,Санкт-Петербург,55,23,Volkswagen,Tiguan,170.0,0,998000.0,N,M,0,0,0,0,1,1,0,0.0,0,2,10000.0,Санкт-Петербург,0.08
66500,3,3,53,6,Москва,38,20,Volkswagen,Tiguan,170.0,0,1017847.0,293,M,0,0,1S,0,0,0,0,0.0,0,1,0.0,Москва,-0.26
66508,12,12,52,6,Санкт-Петербург,36,16,Toyota,RAV4,170.0,0,908330.0,234,F,1S,1S,1L,1L,0,0,0,0.0,0,3,0.0,Санкт-Петербург,0.04
66518,3,3,14,1,Москва,36,18,Opel,Insignia,160.0,0,935000.0,530,M,0,0,0,0,1,0,0,0.0,0,1,0.0,Москва,-0.51
66525,3,3,53,6,Санкт-Петербург,48,19,Audi,Q3,170.0,1,1600000.0,1214,M,0,0,N,N,1,1,0,0.0,0,0,0.0,Санкт-Петербург,-0.1
66527,3,3,50,5,Москва,39,13,Ssang Yong,Kyron,150.0,0,640000.0,N,M,0,0,0,0,1,1,0,0.0,0,2,10000.0,Москва,-0.23
66531,12,12,59,3,Санкт-Петербург,52,15,Jeep,Grand Cherokee,241.0,0,2584000.0,454,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,0.04
66533,12,12,55,6,Москва,54,26,Renault,Duster,135.0,0,754500.0,1252,F,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,-0.42
66537,10,10,52,6,Москва,38,4,Kia,Rio,123.0,1,441652.0,N,F,0,0,2,1L,1,1,0,0.0,0,1,0.0,Московская,0.0
66539,1,1,50,5,Санкт-Петербург,63,25,Volkswagen,Tiguan,170.0,0,823000.0,N,M,0,0,3,2,1,1,0,0.0,0,2,10000.0,Санкт-Петербург,-0.24
66540,1,1,55,6,Москва,33,15,Mitsubishi,Outlander XL,170.0,0,731131.0,1096,M,0,0,1L,0,1,0,0,0.0,0,6,0.0,Москва,0.17
66551,1,1,52,6,Москва,59,20,Toyota,RAV4,146.0,0,1066000.0,910,F,0,0,0,0,0,0,0,0.0,0,1,0.0,Москва,0.01
66556,1,1,52,6,Москва,49,31,Volkswagen,Tiguan,150.0,0,586870.0,910,M,0,0,0,0,0,1,0,0.0,0,5,0.0,Москва,0.05
66569,12,12,52,6,Санкт-Петербург,43,17,Toyota,RAV4,148.0,1,807823.0,1319,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Санкт-Петербург,0.07
66570,2,2,50,5,Москва,42,1,Nissan,Tiida,110.0,0,584000.0,N,F,0,0,1S,0,1,1,0,0.0,0,1,0.0,Москва,-0.03
66581,10,10,52,6,Москва,49,21,Ford,Kuga,150.0,0,1066000.0,326,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,0.0
66585,10,10,52,6,Москва,34,5,Nissan,Murano,249.0,0,1303351.0,229,M,0,0,0,0,1,0,0,0.0,0,2,0.0,Москва,-0.15
66587,10,10,53,6,Москва,67,27,Kia,Sportage,150.0,0,712953.0,264,M,1S,1S,1S,1S,0,0,0,44.0,0,2,0.0,Москва,0.0
66594,2,2,6,4,Санкт-Петербург,45,26,Nissan,Pathfinder,190.0,0,1500000.0,244,M,0,0,0,0,1,1,0,0.0,0,1,0.0,Санкт-Петербург,0.04
66604,1,1,6,4,Санкт-Петербург,30,10,Volkswagen,Touareg,224.0,0,1216215.0,34,M,0,0,0,0,0,0,0,0.0,0,2,50000.0,Санкт-Петербург,0.02
66609,8,8,52,6,Москва,36,10,Ford,Focus,125.0,0,680000.0,326,M,0,0,0,0,1,1,0,0.0,0,2,0.0,Московская,0.0
66610,2,2,50,5,Москва,40,16,Kia,Sorento,175.0,1,1400000.0,N,F,1L,0,N,N,1,1,0,8.0,0,0,0.0,Московская,-0.1
66616,8,8,53,6,Санкт-Петербург,36,17,Nissan,Qashqai,141.0,0,717285.0,461,F,0,0,0,0,1,1,0,0.0,0,3,0.0,Санкт-Петербург,0.0
66626,3,3,53,6,Санкт-Петербург,48,7,Honda,CR-V,150.0,0,937125.0,89,M,1S,1S,0,0,0,0,0,1.0,0,2,0.0,Санкт-Петербург,0.07
66629,3,3,53,6,Санкт-Петербург,28,7,Volkswagen,Jetta,105.0,0,870000.0,948,F,0,0,N,N,0,0,0,0.0,0,0,30000.0,Санкт-Петербург,-0.16
66635,3,3,53,6,Санкт-Петербург,35,6,Kia,Cerato,126.0,1,500000.0,917,F,1S,1S,N,N,0,1,0,0.0,0,0,15000.0,Санкт-Петербург,-0.56
66637,4,3,53,6,Москва,41,8,Kia,Ceed,129.0,0,687500.0,264,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Москва,-0.46
66642,12,12,14,1,Москва,36,14,Mitsubishi,ASX,140.0,0,709224.0,1111,F,0,0,0,0,1,1,0,0.0,0,2,0.0,Москва,0.04
66644,11,11,52,6,Москва,25,6,Land Rover,Range Rover,340.0,0,4607580.0,326,M,0,0,1S,1S,0,0,0,0.0,0,1,0.0,Санкт-Петербург,-0.02
66647,12,12,59,3,Санкт-Петербург,44,9,Audi,Q3,170.0,0,1135700.0,565,F,0,0,0,0,0,1,0,0.0,0,1,0.0,Санкт-Петербург,0.01
66648,11,11,55,6,Москва,67,44,Mitsubishi,Pajero Sport,222.0,0,1260332.0,1096,M,2,2,0,0,0,1,0,0.0,0,1,0.0,Москва,1.38
66650,12,12,52,6,Санкт-Петербург,40,10,Ford,Kuga,150.0,0,1285900.0,493,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,-0.06
66651,12,12,53,6,Санкт-Петербург,42,7,Hyundai,i30,130.0,1,826900.0,1200,M,1L,1L,N,N,1,0,0,0.0,0,0,0.0,Санкт-Петербург,0.1
66657,12,12,52,6,Москва,38,11,Kia,Rio,123.0,1,620900.0,1372,F,1S,1S,N,N,0,0,0,9.0,0,0,0.0,Московская,0.18
66660,12,12,15,1,Москва,37,16,Hyundai,Solaris,123.0,0,824900.0,617,F,0,0,N,N,0,1,0,0.0,0,0,10000.0,Московская,0.05
66662,12,12,55,6,Москва,43,25,Mitsubishi,Outlander XL,170.0,0,720768.0,1096,M,1S,1S,0,0,1,1,0,31.0,0,3,0.0,Москва,-1.0
66663,8,8,52,6,Санкт-Петербург,28,4,BMW,X1,184.0,0,1593000.0,6,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,-0.33
66695,11,11,52,6,Санкт-Петербург,33,7,BMW,X1,176.0,1,900000.0,245,M,2,2,N,N,0,0,0,14.0,0,0,0.0,Ленинградская,-0.36
66699,3,3,55,6,Москва,27,8,Skoda,Octavia,152.0,0,513745.0,1401,M,1L,1L,0,0,0,0,0,13.0,0,3,0.0,Москва,-0.42
66703,2,2,15,1,Москва,52,23,Mitsubishi,Pajero,222.0,0,1886990.0,1039,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Москва,0.0
66710,2,2,52,6,Москва,52,34,Kia,Optima,180.0,0,1189900.0,1372,M,0,0,N,N,0,0,0,0.0,0,0,20000.0,Москва,0.04
66716,2,1,50,5,Москва,26,5,Renault,Symbol,75.0,0,202500.0,N,M,0,0,0,0,0,1,0,0.0,0,2,0.0,Москва,0.28
66721,2,2,55,6,Москва,57,20,Hyundai,ix35,150.0,1,894620.0,1252,M,1S,1S,1L,1L,0,1,0,11.0,0,1,0.0,Москва,0.04
66723,11,11,53,6,Санкт-Петербург,60,35,Nissan,Juke,117.0,1,753373.0,1346,F,1L,0,N,N,1,0,0,1.0,0,0,10000.0,Санкт-Петербург,0.04
66726,11,11,50,5,Санкт-Петербург,34,14,Mitsubishi,ASX,140.0,0,612000.0,N,F,0,0,0,0,0,1,0,0.0,0,2,0.0,Санкт-Петербург,0.0
66729,11,11,50,5,Москва,61,21,Citroen,C-Crosser,170.0,0,672867.0,N,M,0,0,0,0,1,0,0,0.0,0,3,15000.0,Москва,-0.02
66730,10,10,50,5,Москва,28,4,Kia,Cerato,126.0,0,420750.0,N,M,0,0,0,0,1,1,0,0.0,0,2,50000.0,Москва,-0.2
66738,3,3,53,6,Санкт-Петербург,65,20,Hyundai,ix35,150.0,0,689587.0,946,M,0,0,1S,1S,0,0,0,0.0,0,2,0.0,Санкт-Петербург,0.04
66743,2,2,52,6,Санкт-Петербург,51,22,Fiat,Doblo,77.0,0,623500.0,493,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,0.09
66752,10,10,55,6,Москва,60,21,Mitsubishi,Outlander XL,146.0,1,740911.0,1096,M,0,0,0,0,0,0,0,0.0,0,2,0.0,Москва,0.0
66761,11,11,55,6,Москва,62,36,Mazda,6,120.0,0,483102.0,N,M,1L,1L,0,0,0,0,0,9.0,0,6,0.0,Московская,0.39
66763,12,12,52,6,Москва,52,30,Suzuki,Jimny,85.0,0,601722.0,N,M,1S,1S,1L,0,0,0,0,110.0,0,3,0.0,Московская,0.17
66768,12,12,52,6,Москва,51,9,BMW,X1,184.0,0,1740000.0,1051,F,1S,0,N,N,1,0,0,0.0,0,0,0.0,Москва,-0.19
66769,8,8,59,3,Санкт-Петербург,36,18,Lifan,X60,128.0,1,565677.0,454,M,0,0,N,N,0,0,0,0.0,0,0,0.0,Санкт-Петербург,0.02
66777,12,12,50,5,Москва,53,34,Nissan,X-Trail,169.0,0,920000.0,N,M,1L,0,0,0,1,1,0,0.0,1,1,0.0,Тульская,-1.0
66781,12,12,53,6,Санкт-Петербург,37,6,Nissan,Juke,117.0,1,880000.0,343,M,2,1S,N,N,0,1,0,5.0,0,0,0.0,Санкт-Петербург,-0.19
66786,12,12,52,6,Санкт-Петербург,32,7,BMW,3-series,184.0,1,1630000.0,6,M,1L,1L,N,N,0,0,0,3.0,0,0,30000.0,Санкт-Петербург,0.25
66791,8,8,14,1,Москва,36,8,Skoda,Fabia,105.0,1,545740.0,309,F,1L,1L,N,N,1,1,0,5.0,0,0,10000.0,Москва,0.16
66792,8,8,15,1,Москва,23,4,Infiniti,QX70,333.0,0,2355000.0,1033,F,2,2,N,N,1,0,0,36.0,0,0,0.0,Москва,0.48
66797,12,12,18,1,Москва,43,15,BMW,5-series,245.0,0,2400000.0,851,F,1S,0,N,N,0,0,0,5.0,0,0,0.0,Москва,0.0
66799,10,10,54,6,Москва,41,10,BMW,X1,184.0,1,1579000.0,703,F,0,0,N,N,0,0,0,0.0,0,0,0.0,Московская,-0.02
66801,4,4,53,6,Санкт-Петербург,33,12,Hyundai,ix35,150.0,1,865018.0,946,M,0,0,1S,1S,0,1,0,0.0,0,1,10000.0,Ленинградская,-0.13
66806,11,11,53,6,Санкт-Петербург,25,1,Hyundai,i30,130.0,1,583758.0,1200,F,1S,1S,1S,1S,0,0,0,0.0,0,1,0.0,Санкт-Петербург,0.0
66809,11,11,53,6,Санкт-Петербург,53,29,Hyundai,Santa Fe,197.0,1,1819000.0,485,M,0,0,N,N,0,1,0,0.0,0,0,0.0,Санкт-Петербург,-0.01
66814,8,8,52,6,Санкт-Петербург,60,11,Renault,Duster,135.0,1,614580.0,1096,M,0,0,0,0,0,1,0,0.0,0,1,0.0,Санкт-Петербург,0.0
